S.NO.,Name,Income_Limit,Category,Min_marks,Benefits,Documents Required,Start_date,End_date,Apply_link,Source_name,Source_link,Description
1,AP Post Matric Scholarship,250000,SC/ST,75,Full tuition fee + maintenance allowance,Aadhaar; Income Certificate; Caste Certificate; Marksheet,01-07-2026,30-09-2026,https://jnanabhumi.ap.gov.in,Jnanabhumi Portal,https://jnanabhumi.ap.gov.in,Scholarship for SC/ST students in Andhra Pradesh
2,YSR Vidya Deevena,250000,General,70,Full fee reimbursement,Aadhaar; Income Certificate; Bonafide Certificate,01-08-2026,15-10-2026,https://navasakam.ap.gov.in,Navasakam Portal,https://navasakam.ap.gov.in,AP government fee reimbursement scheme
3,Central Sector Scholarship,800000,General,80,₹10000 per year,Aadhaar; Income Certificate; Marksheet,01-06-2026,31-08-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Merit-based central government scholarship
4,AICTE Pragati Scholarship,800000,General,60,₹50000 per year,Aadhaar; Income Certificate; Admission Proof,15-07-2026,15-09-2026,https://aicte-india.org,AICTE,https://aicte-india.org,Scholarship for girl students in technical education
5,AICTE Saksham Scholarship,800000,General,60,₹50000 per year,Disability Certificate; Aadhaar; Income Certificate,15-07-2026,15-09-2026,https://aicte-india.org,AICTE,https://aicte-india.org,Support for differently-abled students
6,INSPIRE Scholarship,500000,General,85,₹80000 per year,Marksheet; Aadhaar; Bank Details,01-05-2026,31-07-2026,https://online-inspire.gov.in,Department of Science and Technology India,https://online-inspire.gov.in,Scholarship for science students
7,National Means Cum Merit Scholarship,150000,EBC,55,₹12000 per year,Aadhaar; Income Certificate; School Certificate,01-04-2026,30-06-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Supports economically weaker students
8,Post Matric Scholarship (UP),200000,OBC,60,Fee reimbursement + stipend,Aadhaar; Income Certificate; Caste Certificate,01-08-2026,10-10-2026,https://scholarship.up.gov.in,Government of Uttar Pradesh,https://scholarship.up.gov.in,Scholarship for OBC students
9,Chevening Scholarship,No Limit,General,75,Full tuition + travel + stipend,Passport; Degree Certificates; Recommendation Letters,01-08-2026,01-11-2026,https://www.chevening.org,UK Government,https://www.chevening.org,UK government global scholarship
10,DAAD Scholarship,No Limit,General,70,Monthly stipend + travel,Passport; Academic Records; Language Certificate,01-09-2026,01-12-2026,https://daad.de,DAAD,https://daad.de,Germany-based scholarship
11,MEXT Scholarship,No Limit,General,75,Full tuition + allowance,Passport; Academic Records; Medical Certificate,01-04-2026,31-05-2026,https://www.studyinjapan.go.jp,MEXT,https://www.studyinjapan.go.jp,Japanese government scholarship
12,Australia Awards Scholarship,No Limit,General,70,Full tuition + living expenses,Passport; Academic Records; Work Experience,15-04-2026,30-06-2026,https://www.australiaawards.gov.au,Australian Government,https://www.australiaawards.gov.au,Scholarship to study in Australia
13,Eiffel Excellence Scholarship,No Limit,General,80,Monthly allowance + travel,Passport; Academic Records; CV,01-10-2025,15-01-2026,https://www.campusfrance.org,Campus France,https://www.campusfrance.org,French government excellence scholarship
14,Chinese Government Scholarship,No Limit,General,70,Full tuition + accommodation,Passport; Academic Records; Medical Form,01-12-2025,31-03-2026,https://www.campuschina.org,China Scholarship Council,https://www.campuschina.org,Scholarship for studying in China
15,Swiss Government Excellence Scholarship,No Limit,General,85,Monthly stipend + tuition waiver,Passport; Research Proposal; CV,01-09-2026,15-12-2026,https://www.sbfi.admin.ch,Swiss Government,https://www.sbfi.admin.ch,Research scholarship in Switzerland
